mask_id,date,top_3
100245,2025-06-22,"[{""game_1"": ""Indiana Pacers & Oklahoma City Thunder"", ""score"": 5.8003458976745605, ""event_description"": ""Indiana Pacers & Oklahoma City Thunder"", ""pair_key"": ""Indiana Pacers | Oklahoma City Thunder""}]"
100897,2025-06-22,"[{""game_1"": ""Indiana Pacers & Oklahoma City Thunder"", ""score"": 42.167545318603516, ""event_description"": ""Indiana Pacers & Oklahoma City Thunder"", ""pair_key"": ""Indiana Pacers | Oklahoma City Thunder""}]"
101293,2025-06-22,"[{""game_1"": ""Indiana Pacers & Oklahoma City Thunder"", ""score"": 18.126922607421875, ""event_description"": ""Indiana Pacers & Oklahoma City Thunder"", ""pair_key"": ""Indiana Pacers | Oklahoma City Thunder""}]"
102566,2025-06-22,"[{""game_1"": ""Indiana Pacers & Oklahoma City Thunder"", ""score"": 17.85599708557129, ""event_description"": ""Indiana Pacers & Oklahoma City Thunder"", ""pair_key"": ""Indiana Pacers | Oklahoma City Thunder""}]"
102918,2025-06-22,"[{""game_1"": ""Indiana Pacers & Oklahoma City Thunder"", ""score"": 10.98332405090332, ""event_description"": ""Indiana Pacers & Oklahoma City Thunder"", ""pair_key"": ""Indiana Pacers | Oklahoma City Thunder""}]"
103210,2025-06-22,"[{""game_1"": ""Indiana Pacers & Oklahoma City Thunder"", ""score"": 0.6713761687278748, ""event_description"": ""Indiana Pacers & Oklahoma City Thunder"", ""pair_key"": ""Indiana Pacers | Oklahoma City Thunder""}]"
103583,2025-06-22,"[{""game_1"": ""Indiana Pacers & Oklahoma City Thunder"", ""score"": 73.07958221435547, ""event_description"": ""Indiana Pacers & Oklahoma City Thunder"", ""pair_key"": ""Indiana Pacers | Oklahoma City Thunder""}]"
104504,2025-06-22,"[{""game_1"": ""Indiana Pacers & Oklahoma City Thunder"", ""score"": 0.7232375741004944, ""event_description"": ""Indiana Pacers & Oklahoma City Thunder"", ""pair_key"": ""Indiana Pacers | Oklahoma City Thunder""}]"
109296,2025-06-22,"[{""game_1"": ""Indiana Pacers & Oklahoma City Thunder"", ""score"": -0.280745267868042, ""event_description"": ""Indiana Pacers & Oklahoma City Thunder"", ""pair_key"": ""Indiana Pacers | Oklahoma City Thunder""}]"
111878,2025-06-22,"[{""game_1"": ""Indiana Pacers & Oklahoma City Thunder"", ""score"": 2.2337498664855957, ""event_description"": ""Indiana Pacers & Oklahoma City Thunder"", ""pair_key"": ""Indiana Pacers | Oklahoma City Thunder""}]"
