mask_id,date,top_3
100245,2025-05-19,"[{""game_1"": ""Golden State Warriors & Minnesota Timberwolves"", ""score"": 31.952899932861328, ""event_description"": ""Golden State Warriors & Minnesota Timberwolves"", ""pair_key"": ""Golden State Warriors | Minnesota Timberwolves""}]"
100897,2025-05-19,"[{""game_1"": ""Golden State Warriors & Minnesota Timberwolves"", ""score"": 40.16575622558594, ""event_description"": ""Golden State Warriors & Minnesota Timberwolves"", ""pair_key"": ""Golden State Warriors | Minnesota Timberwolves""}]"
101293,2025-05-19,"[{""game_1"": ""Golden State Warriors & Minnesota Timberwolves"", ""score"": 0.049318619072437286, ""event_description"": ""Golden State Warriors & Minnesota Timberwolves"", ""pair_key"": ""Golden State Warriors | Minnesota Timberwolves""}]"
102566,2025-05-19,"[{""game_1"": ""Golden State Warriors & Minnesota Timberwolves"", ""score"": 9.607584953308105, ""event_description"": ""Golden State Warriors & Minnesota Timberwolves"", ""pair_key"": ""Golden State Warriors | Minnesota Timberwolves""}]"
102918,2025-05-19,"[{""game_1"": ""Golden State Warriors & Minnesota Timberwolves"", ""score"": 8.227859497070312, ""event_description"": ""Golden State Warriors & Minnesota Timberwolves"", ""pair_key"": ""Golden State Warriors | Minnesota Timberwolves""}]"
103210,2025-05-19,"[{""game_1"": ""Golden State Warriors & Minnesota Timberwolves"", ""score"": -0.6177180409431458, ""event_description"": ""Golden State Warriors & Minnesota Timberwolves"", ""pair_key"": ""Golden State Warriors | Minnesota Timberwolves""}]"
103583,2025-05-19,"[{""game_1"": ""Golden State Warriors & Minnesota Timberwolves"", ""score"": 80.5421371459961, ""event_description"": ""Golden State Warriors & Minnesota Timberwolves"", ""pair_key"": ""Golden State Warriors | Minnesota Timberwolves""}]"
104504,2025-05-19,"[{""game_1"": ""Golden State Warriors & Minnesota Timberwolves"", ""score"": 0.21645736694335938, ""event_description"": ""Golden State Warriors & Minnesota Timberwolves"", ""pair_key"": ""Golden State Warriors | Minnesota Timberwolves""}]"
109296,2025-05-19,"[{""game_1"": ""Golden State Warriors & Minnesota Timberwolves"", ""score"": -0.43677642941474915, ""event_description"": ""Golden State Warriors & Minnesota Timberwolves"", ""pair_key"": ""Golden State Warriors | Minnesota Timberwolves""}]"
111878,2025-05-19,"[{""game_1"": ""Golden State Warriors & Minnesota Timberwolves"", ""score"": 1.6062798500061035, ""event_description"": ""Golden State Warriors & Minnesota Timberwolves"", ""pair_key"": ""Golden State Warriors | Minnesota Timberwolves""}]"
112904,2025-05-19,"[{""game_1"": ""Golden State Warriors & Minnesota Timberwolves"", ""score"": -2.50850510597229, ""event_description"": ""Golden State Warriors & Minnesota Timberwolves"", ""pair_key"": ""Golden State Warriors | Minnesota Timberwolves""}]"
116584,2025-05-19,"[{""game_1"": ""Golden State Warriors & Minnesota Timberwolves"", ""score"": 3.970493793487549, ""event_description"": ""Golden State Warriors & Minnesota Timberwolves"", ""pair_key"": ""Golden State Warriors | Minnesota Timberwolves""}]"
117025,2025-05-19,"[{""game_1"": ""Golden State Warriors & Minnesota Timberwolves"", ""score"": 28.57663917541504, ""event_description"": ""Golden State Warriors & Minnesota Timberwolves"", ""pair_key"": ""Golden State Warriors | Minnesota Timberwolves""}]"
118694,2025-05-19,"[{""game_1"": ""Golden State Warriors & Minnesota Timberwolves"", ""score"": 52.81989669799805, ""event_description"": ""Golden State Warriors & Minnesota Timberwolves"", ""pair_key"": ""Golden State Warriors | Minnesota Timberwolves""}]"
119843,2025-05-19,"[{""game_1"": ""Golden State Warriors & Minnesota Timberwolves"", ""score"": 81.59288787841797, ""event_description"": ""Golden State Warriors & Minnesota Timberwolves"", ""pair_key"": ""Golden State Warriors | Minnesota Timberwolves""}]"
119947,2025-05-19,"[{""game_1"": ""Golden State Warriors & Minnesota Timberwolves"", ""score"": -0.02669910155236721, ""event_description"": ""Golden State Warriors & Minnesota Timberwolves"", ""pair_key"": ""Golden State Warriors | Minnesota Timberwolves""}]"
123200,2025-05-19,"[{""game_1"": ""Golden State Warriors & Minnesota Timberwolves"", ""score"": 4.844552040100098, ""event_description"": ""Golden State Warriors & Minnesota Timberwolves"", ""pair_key"": ""Golden State Warriors | Minnesota Timberwolves""}]"
127041,2025-05-19,"[{""game_1"": ""Golden State Warriors & Minnesota Timberwolves"", ""score"": 33.80197525024414, ""event_description"": ""Golden State Warriors & Minnesota Timberwolves"", ""pair_key"": ""Golden State Warriors | Minnesota Timberwolves""}]"
129102,2025-05-19,"[{""game_1"": ""Golden State Warriors & Minnesota Timberwolves"", ""score"": -1.0782089233398438, ""event_description"": ""Golden State Warriors & Minnesota Timberwolves"", ""pair_key"": ""Golden State Warriors | Minnesota Timberwolves""}]"
130996,2025-05-19,"[{""game_1"": ""Golden State Warriors & Minnesota Timberwolves"", ""score"": 4.696958065032959, ""event_description"": ""Golden State Warriors & Minnesota Timberwolves"", ""pair_key"": ""Golden State Warriors | Minnesota Timberwolves""}]"
131366,2025-05-19,"[{""game_1"": ""Golden State Warriors & Minnesota Timberwolves"", ""score"": -0.5050922632217407, ""event_description"": ""Golden State Warriors & Minnesota Timberwolves"", ""pair_key"": ""Golden State Warriors | Minnesota Timberwolves""}]"
