Date,Game,event_description,winner,date,event_description_at,away_team,home_team,sep,pair_key,game_number
26-04-2025,Denver Nuggets & Los Angeles Clippers,Los Angeles Clippers vs. Denver Nuggets,L,2025-04-26,Denver Nuggets @ Los Angeles Clippers,Denver Nuggets,Los Angeles Clippers,vs,Denver Nuggets | Los Angeles Clippers,4
26-04-2025,Golden State Warriors & Houston Rockets,Golden State Warriors vs.  Houston Rockets,W,2025-04-26,Houston Rockets @ Golden State Warriors,Houston Rockets,Golden State Warriors,vs,Golden State Warriors | Houston Rockets,3
26-04-2025,Memphis Grizzlies & Oklahoma City Thunder,Memphis Grizzlies vs. Oklahoma City Thunder,L,2025-04-26,Oklahoma City Thunder @ Memphis Grizzlies,Oklahoma City Thunder,Memphis Grizzlies,vs,Memphis Grizzlies | Oklahoma City Thunder,4
27-04-2025,Boston Celtics & Orlando Magic,Boston Celtics @ Orlando Magic,W,2025-04-27,Boston Celtics @ Orlando Magic,Boston Celtics,Orlando Magic,@,Boston Celtics | Orlando Magic,4
27-04-2025,Detroit Pistons & New York Knicks,New York Knicks @ Detroit Pistons,W,2025-04-27,New York Knicks @ Detroit Pistons,New York Knicks,Detroit Pistons,@,Detroit Pistons | New York Knicks,4
27-04-2025,Indiana Pacers & Milwaukee Bucks,Indiana Pacers @ Milwaukee Bucks,W,2025-04-27,Indiana Pacers @ Milwaukee Bucks,Indiana Pacers,Milwaukee Bucks,@,Indiana Pacers | Milwaukee Bucks,4
27-04-2025,Los Angeles Lakers & Minnesota Timberwolves,Minnesota Timberwolves vs. Los Angeles Lakers,W,2025-04-27,Los Angeles Lakers @ Minnesota Timberwolves,Los Angeles Lakers,Minnesota Timberwolves,vs,Los Angeles Lakers | Minnesota Timberwolves,4
28-04-2025,Cleveland Cavaliers & Miami Heat,Miami Heat vs. Cleveland Cavaliers,L,2025-04-28,Cleveland Cavaliers @ Miami Heat,Cleveland Cavaliers,Miami Heat,vs,Cleveland Cavaliers | Miami Heat,4
28-04-2025,Golden State Warriors & Houston Rockets,Golden State Warriors vs.  Houston Rockets,W,2025-04-28,Houston Rockets @ Golden State Warriors,Houston Rockets,Golden State Warriors,vs,Golden State Warriors | Houston Rockets,4
29-04-2025,Boston Celtics & Orlando Magic,Boston Celtics vs. Orlando Magic,W,2025-04-29,Orlando Magic @ Boston Celtics,Orlando Magic,Boston Celtics,vs,Boston Celtics | Orlando Magic,5
29-04-2025,Denver Nuggets & Los Angeles Clippers,Los Angeles Clippers @ Denver Nuggets,L,2025-04-29,Los Angeles Clippers @ Denver Nuggets,Los Angeles Clippers,Denver Nuggets,@,Denver Nuggets | Los Angeles Clippers,5
29-04-2025,Detroit Pistons & New York Knicks,New York Knicks vs. Detroit Pistons,L,2025-04-29,Detroit Pistons @ New York Knicks,Detroit Pistons,New York Knicks,vs,Detroit Pistons | New York Knicks,5
29-04-2025,Indiana Pacers & Milwaukee Bucks,Indiana Pacers vs. Milwaukee Bucks,W,2025-04-29,Milwaukee Bucks @ Indiana Pacers,Milwaukee Bucks,Indiana Pacers,vs,Indiana Pacers | Milwaukee Bucks,5
