mask_id,date,top_3
100245,2025-06-05,"[{""game_1"": ""Indiana Pacers & Oklahoma City Thunder"", ""score"": 6.166375637054443, ""event_description"": ""Indiana Pacers & Oklahoma City Thunder"", ""pair_key"": ""Indiana Pacers | Oklahoma City Thunder""}]"
100897,2025-06-05,"[{""game_1"": ""Indiana Pacers & Oklahoma City Thunder"", ""score"": 38.281253814697266, ""event_description"": ""Indiana Pacers & Oklahoma City Thunder"", ""pair_key"": ""Indiana Pacers | Oklahoma City Thunder""}]"
101293,2025-06-05,"[{""game_1"": ""Indiana Pacers & Oklahoma City Thunder"", ""score"": 21.315587997436523, ""event_description"": ""Indiana Pacers & Oklahoma City Thunder"", ""pair_key"": ""Indiana Pacers | Oklahoma City Thunder""}]"
102566,2025-06-05,"[{""game_1"": ""Indiana Pacers & Oklahoma City Thunder"", ""score"": 17.560888290405273, ""event_description"": ""Indiana Pacers & Oklahoma City Thunder"", ""pair_key"": ""Indiana Pacers | Oklahoma City Thunder""}]"
102918,2025-06-05,"[{""game_1"": ""Indiana Pacers & Oklahoma City Thunder"", ""score"": 10.688215255737305, ""event_description"": ""Indiana Pacers & Oklahoma City Thunder"", ""pair_key"": ""Indiana Pacers | Oklahoma City Thunder""}]"
103210,2025-06-05,"[{""game_1"": ""Indiana Pacers & Oklahoma City Thunder"", ""score"": 0.2332017719745636, ""event_description"": ""Indiana Pacers & Oklahoma City Thunder"", ""pair_key"": ""Indiana Pacers | Oklahoma City Thunder""}]"
103583,2025-06-05,"[{""game_1"": ""Indiana Pacers & Oklahoma City Thunder"", ""score"": 83.14164733886719, ""event_description"": ""Indiana Pacers & Oklahoma City Thunder"", ""pair_key"": ""Indiana Pacers | Oklahoma City Thunder""}]"
104504,2025-06-05,"[{""game_1"": ""Indiana Pacers & Oklahoma City Thunder"", ""score"": 0.3265645205974579, ""event_description"": ""Indiana Pacers & Oklahoma City Thunder"", ""pair_key"": ""Indiana Pacers | Oklahoma City Thunder""}]"
109296,2025-06-05,"[{""game_1"": ""Indiana Pacers & Oklahoma City Thunder"", ""score"": -0.5758542418479919, ""event_description"": ""Indiana Pacers & Oklahoma City Thunder"", ""pair_key"": ""Indiana Pacers | Oklahoma City Thunder""}]"
111878,2025-06-05,"[{""game_1"": ""Indiana Pacers & Oklahoma City Thunder"", ""score"": 1.7792165279388428, ""event_description"": ""Indiana Pacers & Oklahoma City Thunder"", ""pair_key"": ""Indiana Pacers | Oklahoma City Thunder""}]"
