Date,Game,event_description,winner,game_count
10-05-2025,Golden State Warriors & Minnesota Timberwolves,Golden State Warriors vs. Minnesota Timberwolves,L,3
11-05-2025,Cleveland Cavaliers & Indiana Pacers,Indiana Pacers vs. Cleveland Cavaliers,W,4
11-05-2025,Denver Nuggets & Oklahoma City Thunder,Denver Nuggets vs. Oklahoma City Thunder,L,4
12-05-2025,Boston Celtics & New York Knicks,New York Knicks vs. Boston Celtics,W,4
12-05-2025,Golden State Warriors & Minnesota Timberwolves,Golden State Warriors vs. Minnesota Timberwolves,L,4
13-05-2025,Cleveland Cavaliers & Indiana Pacers,Indiana Pacers @ Cleveland Cavaliers,W,5
13-05-2025,Denver Nuggets & Oklahoma City Thunder,Denver Nuggets @ Oklahoma City Thunder,L,5
14-05-2025,Boston Celtics & New York Knicks,New York Knicks @ Boston Celtics,L,5
14-05-2025,Golden State Warriors & Minnesota Timberwolves,Golden State Warriors @ Minnesota Timberwolves,L,5
15-05-2025,Cleveland Cavaliers & Indiana Pacers,,,6
15-05-2025,Denver Nuggets & Oklahoma City Thunder,Denver Nuggets vs. Oklahoma City Thunder,W,6
16-05-2025,Boston Celtics & New York Knicks,New York Knicks vs. Boston Celtics,W,6
17-05-2025,Cleveland Cavaliers & Indiana Pacers,,,7
17-05-2025,Golden State Warriors & Minnesota Timberwolves,,,6
18-05-2025,Boston Celtics & New York Knicks,,,7
18-05-2025,Denver Nuggets & Oklahoma City Thunder,Denver Nuggets @ Oklahoma City Thunder,L,7
19-05-2025,Golden State Warriors & Minnesota Timberwolves,,,7
20-05-2025,Minnesota Timberwolves & Oklahoma City Thunder,Oklahoma City Thunder vs. Minnesota Timberwolves,W,1
21-05-2025,Indiana Pacers & New York Knicks,New York Knicks vs. Indiana Pacers,L,2
22-05-2025,Minnesota Timberwolves & Oklahoma City Thunder,Oklahoma City Thunder vs. Minnesota Timberwolves,W,2
23-05-2025,Indiana Pacers & New York Knicks,New York Knicks vs. Indiana Pacers,L,3
24-05-2025,Minnesota Timberwolves & Oklahoma City Thunder,Oklahoma City Thunder @ Minnesota Timberwolves,L,3
25-05-2025,Indiana Pacers & New York Knicks,New York Knicks @ Indiana Pacers,W,4
26-05-2025,Minnesota Timberwolves & Oklahoma City Thunder,Oklahoma City Thunder @ Minnesota Timberwolves,W,4
27-05-2025,Indiana Pacers & New York Knicks,New York Knicks @ Indiana Pacers,L,5
28-05-2025,Minnesota Timberwolves & Oklahoma City Thunder,Oklahoma City Thunder vs. Minnesota Timberwolves,W,5
29-05-2025,Indiana Pacers & New York Knicks,New York Knicks vs. Indiana Pacers,W,6
30-05-2025,Minnesota Timberwolves & Oklahoma City Thunder,,,6
