mask_id,date,top_3
100245,2025-05-08,"[{""game_1"": ""Golden State Warriors & Minnesota Timberwolves"", ""score"": 31.842857360839844, ""event_description"": ""Golden State Warriors & Minnesota Timberwolves"", ""pair_key"": ""Golden State Warriors | Minnesota Timberwolves""}]"
100897,2025-05-08,"[{""game_1"": ""Golden State Warriors & Minnesota Timberwolves"", ""score"": 40.34635543823242, ""event_description"": ""Golden State Warriors & Minnesota Timberwolves"", ""pair_key"": ""Golden State Warriors | Minnesota Timberwolves""}]"
101293,2025-05-08,"[{""game_1"": ""Golden State Warriors & Minnesota Timberwolves"", ""score"": -0.06072711944580078, ""event_description"": ""Golden State Warriors & Minnesota Timberwolves"", ""pair_key"": ""Golden State Warriors | Minnesota Timberwolves""}]"
102566,2025-05-08,"[{""game_1"": ""Golden State Warriors & Minnesota Timberwolves"", ""score"": 9.788187980651855, ""event_description"": ""Golden State Warriors & Minnesota Timberwolves"", ""pair_key"": ""Golden State Warriors | Minnesota Timberwolves""}]"
102918,2025-05-08,"[{""game_1"": ""Golden State Warriors & Minnesota Timberwolves"", ""score"": 8.408462524414062, ""event_description"": ""Golden State Warriors & Minnesota Timberwolves"", ""pair_key"": ""Golden State Warriors | Minnesota Timberwolves""}]"
103210,2025-05-08,"[{""game_1"": ""Golden State Warriors & Minnesota Timberwolves"", ""score"": -0.7277637124061584, ""event_description"": ""Golden State Warriors & Minnesota Timberwolves"", ""pair_key"": ""Golden State Warriors | Minnesota Timberwolves""}]"
103583,2025-05-08,"[{""game_1"": ""Golden State Warriors & Minnesota Timberwolves"", ""score"": 80.38346099853516, ""event_description"": ""Golden State Warriors & Minnesota Timberwolves"", ""pair_key"": ""Golden State Warriors | Minnesota Timberwolves""}]"
104504,2025-05-08,"[{""game_1"": ""Golden State Warriors & Minnesota Timberwolves"", ""score"": 0.1064116433262825, ""event_description"": ""Golden State Warriors & Minnesota Timberwolves"", ""pair_key"": ""Golden State Warriors | Minnesota Timberwolves""}]"
109296,2025-05-08,"[{""game_1"": ""Golden State Warriors & Minnesota Timberwolves"", ""score"": -0.5468222498893738, ""event_description"": ""Golden State Warriors & Minnesota Timberwolves"", ""pair_key"": ""Golden State Warriors | Minnesota Timberwolves""}]"
111878,2025-05-08,"[{""game_1"": ""Golden State Warriors & Minnesota Timberwolves"", ""score"": 1.4962341785430908, ""event_description"": ""Golden State Warriors & Minnesota Timberwolves"", ""pair_key"": ""Golden State Warriors | Minnesota Timberwolves""}]"
112904,2025-05-08,"[{""game_1"": ""Golden State Warriors & Minnesota Timberwolves"", ""score"": -2.3279027938842773, ""event_description"": ""Golden State Warriors & Minnesota Timberwolves"", ""pair_key"": ""Golden State Warriors | Minnesota Timberwolves""}]"
116584,2025-05-08,"[{""game_1"": ""Golden State Warriors & Minnesota Timberwolves"", ""score"": 4.151095867156982, ""event_description"": ""Golden State Warriors & Minnesota Timberwolves"", ""pair_key"": ""Golden State Warriors | Minnesota Timberwolves""}]"
117025,2025-05-08,"[{""game_1"": ""Golden State Warriors & Minnesota Timberwolves"", ""score"": 28.75724220275879, ""event_description"": ""Golden State Warriors & Minnesota Timberwolves"", ""pair_key"": ""Golden State Warriors | Minnesota Timberwolves""}]"
118694,2025-05-08,"[{""game_1"": ""Golden State Warriors & Minnesota Timberwolves"", ""score"": 52.7098503112793, ""event_description"": ""Golden State Warriors & Minnesota Timberwolves"", ""pair_key"": ""Golden State Warriors | Minnesota Timberwolves""}]"
119843,2025-05-08,"[{""game_1"": ""Golden State Warriors & Minnesota Timberwolves"", ""score"": 68.77574920654297, ""event_description"": ""Golden State Warriors & Minnesota Timberwolves"", ""pair_key"": ""Golden State Warriors | Minnesota Timberwolves""}]"
